dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,55.411398,128.294589,0.003786,0.037856,0.189282,0.946412,6.280648
0.200000,55.409369,128.294594,0.005815,0.010147,-0.138546,-1.639141,6.280841
0.200000,55.404806,128.294603,0.010378,0.022815,0.063338,1.009418,6.281276
0.200000,55.396705,128.294616,0.018479,0.040503,0.088441,0.125517,6.282047
0.200000,55.389165,128.294623,0.026019,0.037701,-0.014009,-0.512249,0.000065
0.200000,55.507315,128.294732,0.144169,0.590749,2.765240,13.896242,0.001790
0.200000,55.668289,128.295208,0.305144,0.804877,1.070640,-8.472997,0.004125
0.200000,55.878790,128.296396,0.515648,1.052519,1.238206,0.837830,0.007152
0.200000,56.142274,128.298775,0.779143,1.317474,1.324777,0.432854,0.010900
0.200000,56.459010,128.302933,1.095906,1.583816,1.331708,0.034653,0.015345
0.200000,56.829236,128.309565,1.466192,1.851430,1.338070,0.031810,0.020459
0.200000,57.253276,128.319465,1.890347,2.120776,1.346732,0.043313,0.026211
0.200000,57.731501,128.333529,2.368779,2.392158,1.356910,0.050887,0.032565
0.200000,58.264239,128.352736,2.901863,2.665420,1.366311,0.047005,0.039481
0.200000,58.851856,128.378146,3.490029,2.940832,1.377058,0.053734,0.046919
0.200000,59.494777,128.410896,4.133784,3.218771,1.389698,0.063203,0.054832
0.200000,60.193362,128.452178,4.833587,3.499018,1.401235,0.057685,0.063175
0.200000,60.948022,128.503242,5.589973,3.781929,1.414551,0.066578,0.071899
0.200000,61.759145,128.565377,6.403473,4.067501,1.427860,0.066548,0.080953
0.200000,62.627048,128.639896,7.274569,4.355481,1.439900,0.060195,0.090287
0.200000,63.552137,128.728140,8.203857,4.646439,1.454792,0.074460,0.099850
0.200000,64.534714,128.831448,9.191850,4.939966,1.467633,0.064208,0.109590
0.200000,65.575098,128.951160,10.239099,5.236244,1.481394,0.068802,0.119456
0.200000,66.673536,129.088590,11.346101,5.535010,1.493827,0.062168,0.129398
0.200000,67.830308,129.245033,12.513403,5.836511,1.507508,0.068403,0.139367
0.200000,69.045610,129.421736,13.741485,6.140408,1.519486,0.059888,0.149316
0.200000,70.319650,129.619899,15.030844,6.446795,1.531933,0.062237,0.159197
0.200000,71.652591,129.840662,16.381943,6.755493,1.543491,0.057789,0.168968
0.200000,73.044588,130.085093,17.795237,7.066471,1.554891,0.057000,0.178584
0.200000,74.495740,130.354179,19.271127,7.379449,1.564888,0.049985,0.188006
0.200000,76.006166,130.648822,20.810022,7.694478,1.575143,0.051277,0.197196
0.200000,77.575997,130.969836,22.412340,8.011588,1.585551,0.052040,0.206115
0.200000,79.205305,131.317923,24.078415,8.330377,1.593945,0.041969,0.214730
0.200000,80.894213,131.693687,25.808620,8.651023,1.603234,0.046445,0.223006
0.200000,82.642825,132.097612,27.603279,8.973296,1.611364,0.040653,0.230913
0.200000,84.451286,132.530069,29.462727,9.297241,1.619725,0.041806,0.238419
0.200000,86.319720,132.991296,31.387247,9.622599,1.626786,0.035305,0.245494
0.200000,88.248349,133.481414,33.377179,9.949659,1.635299,0.042564,0.252110
0.200000,90.237384,134.000397,35.432805,10.278133,1.642372,0.035366,0.258237
0.200000,92.287100,134.548083,37.554431,10.608129,1.649979,0.038033,0.263847
0.200000,94.397846,135.124163,39.742379,10.939741,1.658059,0.040401,0.268910
0.200000,96.570008,135.728164,41.996954,11.272873,1.665664,0.038023,0.273395
0.200000,98.804077,136.359456,44.318504,11.607750,1.674382,0.043591,0.277271
0.200000,101.100611,137.017224,46.707379,11.944377,1.683135,0.043765,0.280504
0.200000,103.460275,137.700469,49.163970,12.282954,1.692886,0.048753,0.283056
0.200000,105.883842,138.407983,51.688699,12.623642,1.703439,0.052764,0.284887
0.200000,108.372208,139.138334,54.282032,12.966665,1.715118,0.058398,0.285954
0.200000,110.926405,139.889842,56.944490,13.312294,1.728144,0.065132,0.286205
0.200000,113.547626,140.660554,59.676669,13.660891,1.742984,0.074198,0.285585
0.200000,116.237230,141.448208,62.479233,14.012823,1.759662,0.083392,0.284030
0.200000,118.996777,142.250193,65.352955,14.368611,1.778936,0.096370,0.281468
0.200000,121.828035,143.063498,68.298713,14.728787,1.800881,0.109723,0.277813
0.200000,124.733019,143.884654,71.317526,15.094064,1.826388,0.127532,0.272968
0.200000,127.714036,144.709660,74.410597,15.465358,1.856469,0.150405,0.266820
0.200000,130.773672,145.533882,77.579306,15.843543,1.890923,0.172275,0.259237
0.200000,133.914876,146.351946,80.825288,16.229909,1.931829,0.204529,0.250062
0.200000,137.140990,147.157595,84.150476,16.625944,1.980175,0.241730,0.239113
0.200000,140.455771,147.943495,87.557148,17.033356,2.037061,0.284430,0.226170
0.200000,143.863490,148.701024,91.048050,17.454511,2.105776,0.343574,0.210975
0.200000,147.368854,149.419952,94.626379,17.891645,2.185668,0.399460,0.193220
0.200000,150.973174,150.087401,98.291977,18.327991,2.181728,-0.019699,0.172559
0.200000,154.674044,150.687813,102.041234,18.746286,2.091476,-0.451262,0.148616
0.200000,158.468941,151.203534,105.871014,19.148899,2.013064,-0.392060,0.120965
0.200000,162.355083,151.614514,109.778827,19.539065,1.950834,-0.311150,0.089126
0.200000,166.328725,151.897948,113.762565,19.918693,1.898137,-0.263484,0.052573
0.200000,170.384625,152.028019,117.820550,20.289924,1.856157,-0.209901,0.010744
