dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,55.358112,107.294656,0.003786,0.037856,0.189282,0.946412,6.280648
0.200000,55.360142,107.294651,0.005815,0.010147,-0.138546,-1.639141,6.280841
0.200000,55.364705,107.294642,0.010378,0.022815,0.063338,1.009418,6.281276
0.200000,55.372805,107.294629,0.018479,0.040503,0.088441,0.125517,6.282047
0.200000,55.390521,107.294623,0.036194,0.088577,0.240369,0.759640,0.000065
0.200000,55.544896,107.294766,0.190569,0.771876,3.416496,15.880634,0.001790
0.200000,55.754907,107.295387,0.400581,1.050060,1.390917,-10.127893,0.004125
0.200000,56.028979,107.296933,0.674657,1.370381,1.601604,1.053432,0.007152
0.200000,56.371164,107.300022,1.016857,1.710996,1.703077,0.507366,0.010900
0.200000,56.781241,107.305406,1.426970,2.050565,1.697847,-0.026150,0.015345
0.200000,57.258850,107.313960,1.904655,2.388428,1.689311,-0.042678,0.020459
0.200000,57.803641,107.326679,2.449594,2.724695,1.681340,-0.039857,0.026211
0.200000,58.415239,107.344663,3.061456,3.059309,1.673070,-0.041351,0.032565
0.200000,59.093131,107.369101,3.739789,3.391663,1.661768,-0.056506,0.039481
0.200000,59.836784,107.401256,4.484137,3.721740,1.650386,-0.056913,0.046919
0.200000,60.645676,107.442457,5.294078,4.049705,1.639826,-0.052801,0.054832
0.200000,61.519156,107.494071,6.169081,4.375016,1.626553,-0.066363,0.063175
0.200000,62.456594,107.557498,7.108663,4.697908,1.614461,-0.060462,0.071899
0.200000,63.457307,107.634150,8.112307,5.018221,1.601563,-0.064487,0.080953
0.200000,64.520504,107.725431,9.179415,5.335540,1.586594,-0.074843,0.090287
0.200000,65.645501,107.832737,10.309518,5.650515,1.574876,-0.058594,0.099850
0.200000,66.831492,107.957426,11.502046,5.962641,1.560634,-0.071208,0.109590
0.200000,68.077708,108.100813,12.756484,6.272189,1.547736,-0.064488,0.119456
0.200000,69.383316,108.264155,14.072269,6.578926,1.533687,-0.070245,0.129398
0.200000,70.747552,108.448647,15.448924,6.883276,1.521749,-0.059694,0.139367
0.200000,72.169599,108.655400,16.885922,7.184990,1.508568,-0.065900,0.149316
0.200000,73.648688,108.885447,18.382794,7.484360,1.496850,-0.058593,0.159197
0.200000,75.184050,109.139724,19.939069,7.781377,1.485089,-0.058806,0.168968
0.200000,76.774954,109.419074,21.554313,8.076218,1.474202,-0.054435,0.178584
0.200000,78.420657,109.724225,23.228068,8.368778,1.462800,-0.057008,0.188006
0.200000,80.120486,110.055805,24.959935,8.659335,1.452787,-0.050065,0.197196
0.200000,81.873831,110.414335,26.749562,8.948132,1.443984,-0.044017,0.206115
0.200000,83.680056,110.800209,28.596545,9.234915,1.433915,-0.050345,0.214730
0.200000,85.538626,111.213711,30.500558,9.520065,1.425752,-0.040813,0.223006
0.200000,87.449018,111.654997,32.461255,9.803486,1.417102,-0.043252,0.230913
0.200000,89.410782,112.124105,34.478327,10.085359,1.409369,-0.038666,0.238419
0.200000,91.423470,112.620932,36.551428,10.365507,1.400740,-0.043142,0.245494
0.200000,93.486752,113.145261,38.680291,10.644312,1.394022,-0.033592,0.252110
0.200000,95.600292,113.696723,40.864589,10.921493,1.385905,-0.040583,0.258237
0.200000,97.763822,114.274812,43.104020,11.197154,1.378308,-0.037984,0.263847
0.200000,99.977138,114.878880,45.398288,11.471339,1.370924,-0.036924,0.268910
0.200000,102.240052,115.508110,47.747056,11.743840,1.362504,-0.042100,0.273395
0.200000,104.552451,116.161530,50.150001,12.014727,1.354437,-0.040331,0.277271
0.200000,106.914243,116.837985,52.606758,12.283785,1.345289,-0.045741,0.280504
0.200000,109.325388,117.536133,55.116944,12.550928,1.335715,-0.047870,0.283056
0.200000,111.785877,118.254423,57.680134,12.815953,1.325123,-0.052960,0.284887
0.200000,114.295731,118.991079,60.295861,13.078634,1.313405,-0.058589,0.285954
0.200000,116.854992,119.744077,62.963599,13.338690,1.300279,-0.065632,0.286205
0.200000,119.463726,120.511119,65.682762,13.595815,1.285625,-0.073268,0.285585
0.200000,122.121995,121.289599,68.452676,13.849571,1.268783,-0.084209,0.284030
0.200000,124.829859,122.076568,71.272578,14.099511,1.249696,-0.095435,0.281468
0.200000,127.587343,122.868688,74.141579,14.345006,1.227476,-0.111104,0.277813
0.200000,130.394423,123.662178,77.058654,14.585375,1.201845,-0.128151,0.272968
0.200000,133.251012,124.452762,80.022625,14.819854,1.172394,-0.147255,0.266820
0.200000,136.156877,125.235579,83.032086,15.047304,1.137254,-0.175703,0.259237
0.200000,139.111629,126.005110,86.085402,15.266580,1.096379,-0.204373,0.250062
0.200000,142.114643,126.755076,89.180647,15.476224,1.048218,-0.240806,0.239113
0.200000,145.164950,127.478314,92.315523,15.674382,0.990792,-0.287129,0.226170
0.200000,148.261175,128.166654,95.487339,15.859080,0.923487,-0.336525,0.210975
0.200000,151.401268,128.810739,98.692808,16.027347,0.841335,-0.410761,0.193220
0.200000,154.578948,129.399279,101.924531,16.158611,0.656323,-0.925060,0.172559
0.200000,157.783503,129.919297,105.171004,16.232368,0.368784,-1.437696,0.148616
0.200000,161.003018,130.356989,108.420135,16.245653,0.066428,-1.511781,0.120965
0.200000,164.224257,130.697866,111.659359,16.196123,-0.247652,-1.570398,0.089126
0.200000,167.432240,130.926962,114.875513,16.080769,-0.576768,-1.645580,0.052573
0.200000,170.610249,131.029231,118.055167,15.898269,-0.912502,-1.678670,0.010744
0.200000,173.739692,130.990090,121.184854,15.648437,-1.249162,-1.683301,6.246268
0.200000,176.799102,130.796303,124.250396,15.327707,-1.603647,-1.772424,6.192297
0.200000,179.766350,130.437051,127.239312,14.944582,-1.915627,-1.559901,6.131708
0.200000,182.621308,129.904577,130.143501,14.520946,-2.118181,-1.012767,6.064450
0.200000,185.346218,129.194771,132.959342,14.079203,-2.208711,-0.452653,5.990896
0.200000,187.927581,128.307254,135.689017,13.648375,-2.154142,0.272849,5.911977
0.200000,190.357485,127.244894,138.341004,13.259937,-1.942190,1.059757,5.829217
0.200000,192.633598,126.013113,140.929049,12.940225,-1.598562,1.718143,5.744645
0.200000,194.757758,124.619550,143.469536,12.702434,-1.188955,2.048031,5.660537
0.200000,196.734717,123.073692,145.979126,12.547952,-0.772410,2.082725,5.579044
0.200000,198.571295,121.386158,148.473278,12.470759,-0.385964,1.932232,5.501843
0.200000,200.274316,119.569294,150.963513,12.451175,-0.097918,1.440231,5.430028
0.200000,201.849482,117.638035,153.455683,12.460852,0.048382,0.731499,5.364159
0.200000,203.302111,115.609124,155.951001,12.476590,0.078691,0.151545,5.304352
0.200000,204.637725,113.500017,158.447438,12.482184,0.027968,-0.253613,5.250406
0.200000,205.862174,111.328118,160.940713,12.466377,-0.079035,-0.535016,5.201933
0.200000,206.981946,109.109546,163.425860,12.425731,-0.203225,-0.620953,5.158445
0.200000,208.003797,106.859022,165.897506,12.358232,-0.337499,-0.671369,5.119428
0.200000,208.934542,104.589786,168.350202,12.263480,-0.473760,-0.681305,5.084386
0.200000,209.781114,102.312988,170.779295,12.145467,-0.590064,-0.581519,5.052854
0.200000,210.550114,100.038502,173.180264,12.004841,-0.703129,-0.565326,5.024414
0.200000,211.247906,97.774584,175.549279,11.845078,-0.798813,-0.478422,4.998696
0.200000,211.880483,95.528205,177.883026,11.668736,-0.881712,-0.414491,4.975376
0.200000,212.453346,93.305581,180.178288,11.476310,-0.962129,-0.402087,4.954175
0.200000,212.971719,91.111489,182.432784,11.272479,-1.019158,-0.285145,4.934845
0.200000,213.440282,88.950494,184.643994,11.056052,-1.082134,-0.314880,4.917179
0.200000,213.863452,86.825954,186.810268,10.831368,-1.123419,-0.206427,4.900991
0.200000,214.245215,84.740933,188.929951,10.598413,-1.164773,-0.206767,4.886123
0.200000,214.589166,82.698361,191.001280,10.356644,-1.208844,-0.220358,4.872440
0.200000,214.898698,80.700156,193.023317,10.110187,-1.232288,-0.117218,4.859821
0.200000,215.176848,78.748280,194.994912,9.857973,-1.261068,-0.143898,4.848160
0.200000,215.426388,76.844473,196.915003,9.600459,-1.287574,-0.132529,4.837369
